[1.08s] Frame 28, TrackID: 118, Class: referee, ID: ref14
[1.08s] Frame 28, TrackID: 119, Class: player, ID: p15
[1.08s] Frame 28, TrackID: 120, Class: player, ID: p16
[1.08s] Frame 28, TrackID: 121, Class: player, ID: p17
[1.16s] Frame 30, TrackID: 1, Class: player, ID: p1
[1.16s] Frame 30, TrackID: 2, Class: player, ID: p2
[1.16s] Frame 30, TrackID: 3, Class: player, ID: p3
[1.16s] Frame 30, TrackID: 6, Class: player, ID: p4
[1.16s] Frame 30, TrackID: 7, Class: player, ID: p5
[1.16s] Frame 30, TrackID: 16, Class: player, ID: p7
[1.16s] Frame 30, TrackID: 33, Class: player, ID: p8
[1.16s] Frame 30, TrackID: 71, Class: player, ID: p9
[1.16s] Frame 30, TrackID: 100, Class: player, ID: p10
[1.16s] Frame 30, TrackID: 107, Class: player, ID: p11
[1.16s] Frame 30, TrackID: 114, Class: referee, ID: ref12
[1.16s] Frame 30, TrackID: 117, Class: player, ID: p13
[1.16s] Frame 30, TrackID: 118, Class: referee, ID: ref14
[1.16s] Frame 30, TrackID: 119, Class: player, ID: p15
[1.16s] Frame 30, TrackID: 120, Class: player, ID: p16
[1.16s] Frame 30, TrackID: 121, Class: player, ID: p17
[1.16s] Frame 30, TrackID: 123, Class: player, ID: p18
[1.24s] Frame 32, TrackID: 1, Class: player, ID: p1
[1.24s] Frame 32, TrackID: 2, Class: player, ID: p2
[1.24s] Frame 32, TrackID: 3, Class: player, ID: p3
[1.24s] Frame 32, TrackID: 6, Class: player, ID: p4
[1.24s] Frame 32, TrackID: 7, Class: player, ID: p5
[1.24s] Frame 32, TrackID: 16, Class: player, ID: p7
[1.24s] Frame 32, TrackID: 33, Class: player, ID: p8
[1.24s] Frame 32, TrackID: 71, Class: player, ID: p9
[1.24s] Frame 32, TrackID: 100, Class: player, ID: p10
[1.24s] Frame 32, TrackID: 107, Class: player, ID: p11
[1.24s] Frame 32, TrackID: 114, Class: referee, ID: ref12
[1.24s] Frame 32, TrackID: 117, Class: player, ID: p13
[1.24s] Frame 32, TrackID: 118, Class: referee, ID: ref14
[1.24s] Frame 32, TrackID: 119, Class: player, ID: p15
[1.24s] Frame 32, TrackID: 120, Class: player, ID: p16
[1.24s] Frame 32, TrackID: 121, Class: player, ID: p17
[1.24s] Frame 32, TrackID: 123, Class: player, ID: p18
[1.24s] Frame 32, TrackID: 125, Class: player, ID: p19
[1.24s] Frame 32, TrackID: 126, Class: player, ID: p20
[1.24s] Frame 32, TrackID: 128, Class: ball, ID: b128
[1.32s] Frame 34, TrackID: 1, Class: player, ID: p1
[1.32s] Frame 34, TrackID: 2, Class: player, ID: p2
[1.32s] Frame 34, TrackID: 3, Class: player, ID: p3
[1.32s] Frame 34, TrackID: 6, Class: player, ID: p4
[1.32s] Frame 34, TrackID: 7, Class: player, ID: p5
[1.32s] Frame 34, TrackID: 16, Class: player, ID: p7
[1.32s] Frame 34, TrackID: 33, Class: player, ID: p8
[1.32s] Frame 34, TrackID: 71, Class: player, ID: p9
